Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
6921044,04/16/2019,SO52-01653,"GULF COAST SUPPLY & MFG., INC. : SEBRING - GCS005",USA,"$6,276.00",6276
6920221,04/16/2019,SO53-00609,Cajun Home Improvements,USA,"$4,498.72",4498.72
6919397,04/16/2019,SO54-01110,CALEBS MANAGEMENT ENT INC (EXEMPT),USA,$150.00,150
6919393,04/16/2019,SO80-03795,Fairbanks Construction,USA,$875.61,875.61
6919290,04/16/2019,SO54-01109,"Inman Roofing, Inc.",USA,"$4,900.00",4900
6919083,04/16/2019,SO80-03794,First Choice Exteriors,USA,"$1,137.37",1137.37
6918326,04/16/2019,SO54-01108,CALEBS MANAGEMENT ENT INC (EXEMPT),USA,"$2,714.00",2714
6917689,04/16/2019,SO54-01107,B&M ROOFING,USA,$252.00,252
6917688,04/16/2019,SO53-00608,SCHULTE ROOFING,USA,"$3,247.50",3247.5
6916963,04/16/2019,SO80-03793,Berlin Coil,USA,"$6,196.00",6196
6916961,04/16/2019,SO54-01106,B&M ROOFING,USA,"$1,200.00",1200
6916960,04/16/2019,SO80-03792,Mr. Fix It of Sierra Vista,USA,"$14,690.00",14690
6916954,04/16/2019,SO54-01105,SCHAFER & COMPANY LLC,USA,"$1,266.00",1266
6916528,04/16/2019,SO54-01104,METAL ROOFING SOLUTIONS,USA,$100.00,100
6916525,04/16/2019,SO53-00607,Verano Construction,USA,"$9,034.89",9034.89
6916421,04/16/2019,SO54-01103,Retro Custom Metals (SMI),USA,"$3,165.00",3165
6916192,04/16/2019,SO80-03791,"Drexel Metals, Inc.",USA,"$13,444.00",13444
6915982,04/16/2019,SO53-00606,InPro LTD,USA,$230.00,230
6915771,04/16/2019,SO54-01102,Glacier Steel Roofing Products,USA,"$2,235.18",2235.18
6915758,04/16/2019,SO54-01101,Design Company Construction,USA,"$2,855.00",2855
6915223,04/16/2019,SO53-00605,Gotcha Covered ContractingGotcha Covered Contracting,USA,"$6,735.86",6735.86
6915007,04/16/2019,SO54-01100,Custom Sheet Metal Inc,USA,$44.49,44.49
6915003,04/16/2019,SO54-01099,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,$403.34,403.34
6914999,04/16/2019,SO52-01652,"A & W Contracting, Inc.",USA,$330.75,330.75
6914896,04/16/2019,SO54-01098,Western Architectural Metals (SMI),USA,$72.00,72
6914764,04/16/2019,SO53-00604,JA-MAR ROOFING & SHEET METAL,USA,$917.96,917.96
6914762,04/16/2019,SO54-01097,"Inman Roofing, Inc.",USA,$115.00,115
6914458,04/16/2019,SO80-03790,Shaul Roofing aka RLS Metal Systems,USA,$244.40,244.4
6914349,04/16/2019,SO53-00603,Finished Work Roofing & Construction,USA,"$8,443.28",8443.28
6914238,04/16/2019,SO52-01651,4M METALS,USA,$940.00,940
6914127,04/16/2019,SO54-01096,LINCOLN - SSH001,USA,"$1,466.00",1466
6914121,04/16/2019,SO52-01650,"DYNAMIC METALS, LLC",USA,"$5,025.00",5025
6913818,04/16/2019,SO52-01649,HOMESTEAD CONSTRUCTION : HUNTINGTON - 8LC001,USA,"$3,315.00",3315
6913817,04/16/2019,SO80-03789,"Drexel Metals, Inc.",USA,$713.00,713
6913708,04/16/2019,SO54-01095,COLORADO METAL SOURCE,USA,$77.76,77.76
6913398,04/16/2019,SO54-01094,COLORADO METAL SOURCE,USA,"$1,004.42",1004.42
6913397,04/16/2019,SO55LM-00097,A1 Rain Gutters,USA,"$9,956.00",9956
6913290,04/16/2019,SO54-01093,COLORADO METAL SOURCE,USA,$169.56,169.56
6913182,04/16/2019,SO54-01092,COLORADO METAL SOURCE,USA,"$3,780.00",3780
6912975,04/16/2019,SO80-03788,Rain Trade Corp.,USA,$204.00,204
6912762,04/16/2019,SO53-00602,Ramon Roofing (SMI),USA,$476.82,476.82
6912546,04/16/2019,SO54-01091,B&M ROOFING,USA,"$1,500.00",1500
6912438,04/16/2019,SO53-00601,Ramon Roofing (SMI),USA,$237.60,237.6
6912329,04/16/2019,SO80-03787,Taylor Metal Products,USA,"$1,580.00",1580
6912119,04/16/2019,SO51-00626,EXCEL METAL ROOFING LLC,USA,"$6,102.24",6102.24
6911891,04/16/2019,SO52-01648,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$1,649.00",1649
6911888,04/16/2019,SO52-01647,Integrity Metals (SMI) : VERO BEACH - IML001,USA,$830.00,830
6911678,04/16/2019,SO51-00625,J.A. MEHL RESTORATION,USA,"$2,846.26",2846.26
6911571,04/16/2019,SO52-01646,WOODSTOCK METAL ROOFING,USA,"$1,738.80",1738.8
6911453,04/16/2019,SO52-01645,JAMES KELLY,USA,$111.00,111
6911452,04/16/2019,SO80-03786,B & B Seamless,USA,$433.30,433.3
6911238,04/16/2019,SO80-03785,Gutters & Shutters 804,USA,$0.00,0
6910928,04/16/2019,SO52-01644,"PITTMAN WALLER ROOFING CO, INC",USA,$876.34,876.34
6910724,04/16/2019,SO80-03784,Aluminum Associates,USA,"$27,774.00",27774
6910622,04/16/2019,SO80-03783,Gutters & Shutters 804,USA,$0.00,0
6910621,04/16/2019,SO52-01643,4M METALS,USA,"$4,165.00",4165
6910620,04/16/2019,SO80-03782,New Tech Machinery de Mexico,USA,"$33,451.52",33451.52
6910519,04/16/2019,SO80-03781,Gulf Coast Supply,USA,$0.00,0
6910395,04/16/2019,SO80-03780,Front Range Seamless Gutters,USA,$0.00,0
6909865,04/16/2019,SO52-01642,"GULF COAST SUPPLY & MFG., INC. : SEBRING - GCS005",USA,"$23,070.00",23070
6909862,04/16/2019,SO51-00624,U-DESIGN FABRICATORS,USA,"$4,780.00",4780
